Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8427771556, 2.28448447477;"{""type"": ""Point"", ""coordinates"": [2.284484474768909, 48.8427771555803]}";3237.0;71-73 RUE DE LA CONVENTION;2017;ELOGIE SIEMP;150;63;55;0;32;acquisition conventionnement;;15;logement familial;647486.739;6860541.192
48.8314907309, 2.30597469256;"{""type"": ""Point"", ""coordinates"": [2.305974692562022, 48.831490730900136]}";3249.0;1-13, RUE DU LIEUVIN;2017;PARIS HAB;380;152;152;0;76;acquisition conventionnement;;15;logement familial;649052.882;6859272.191
48.8838752822, 2.29310953858;"{""type"": ""Point"", ""coordinates"": [2.293109538578296, 48.88387528224052]}";3261.0;3, RUE GUILLAUME TELL;2017;RIVP;14;0;0;0;14;acquisition conventionnement;;17;logement familial;648160.645;6865105.242
48.879991194, 2.39195128712;"{""type"": ""Point"", ""coordinates"": [2.391951287118627, 48.879991193957956]}";2001.0;14BIS RUE DE LA MOUZAIA 14 RUE DES MIGNOTTES;2011;RIVP;12;0;8;0;4;acquisition réhabilitation;;19;logement familial;655405.66;6864613.0
48.8675710852, 2.38722069405;"{""type"": ""Point"", ""coordinates"": [2.387220694051439, 48.86757108520387]}";2004.0;40A RUE DE MENILMONTANT 9 RUE DELAITRE;2011;RIVP;41;0;41;0;0;construction neuve;;20;résidence pour étudiants;655048.0073;6863234.648
48.8664807236, 2.37418986327;"{""type"": ""Point"", ""coordinates"": [2.374189863274309, 48.86648072361841]}";2029.0;14-24, RUE EDOUARD LOCKROY;2011;TOIT&JOIE;3;0;3;0;0;acquisition conventionnement;;11;logement familial;654091.1563;6863120.905
48.8447466217, 2.37825411258;"{""type"": ""Point"", ""coordinates"": [2.378254112583864, 48.844746621657976]}";2030.0;12-14 PASSAGE RAGUINOT;2011;TOIT&JOIE;32;32;0;0;0;acquisition conventionnement;;12;centre d'hébergement d'urgence;654370.2707;6860701.903
48.869688643, 2.35050374069;"{""type"": ""Point"", ""coordinates"": [2.350503740687031, 48.86968864295689]}";2039.0;25 RUE BEAUREGARD 19 RUE DE LA LUNE;2011;VILEAL;14;4;10;0;0;acquisition conventionnement;;2;logement familial;652356.5371;6863491.633
48.8576453892, 2.37709407763;"{""type"": ""Point"", ""coordinates"": [2.377094077628388, 48.857645389160844]}";2042.0;15 RUE POPINCOURT;2012;ADOMA;26;26;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;11;site de desserrement de foyer de travailleur migrant;654296.4522;6862136.801
48.8415081074, 2.2667945943;"{""type"": ""Point"", ""coordinates"": [2.266794594300911, 48.841508107379035]}";2043.0;155, AVENUE DE VERSAILLES;2012;ADOMA;37;37;0;0;0;acquisition réhabilitation;;16;foyer pour jeunes travailleurs ou résidence pour jeunes;646187.1663;6860411.998
48.8364509806, 2.33192790533;"{""type"": ""Point"", ""coordinates"": [2.331927905332239, 48.83645098063617]}";2049.0;277, BD RASPAIL;2012;ASS.MAR.TH;51;0;0;0;51;construction neuve;;14;établissement d'hébergement pour personnes âgées dépendantes;650962.6795;6859807.283
48.8958186453, 2.35881547902;"{""type"": ""Point"", ""coordinates"": [2.358815479019465, 48.895818645304225]}";2053.0;63-63BIS, RUE DE LA CHAPELLE;2012;BATIGERE;9;0;0;0;9;acquisition réhabilitation;;18;logement familial;652989.8204;6866392.149
48.8809892373, 2.35940958388;"{""type"": ""Point"", ""coordinates"": [2.359409583876768, 48.88098923726504]}";2055.0;8-10, RUE DEMARQUAY;2012;BATIGERE;3;0;3;0;0;acquisition conventionnement;;10;logement familial;653020.0003;6864742.846
